,,,,,,,,,MWh,$,$,,,MWh,MWh,MW
Delivery ID,Trading Date,Delivery Date,Delivery Hour,Delivery Interval,Load Forecast MWh,Operational Load,Max Temperature,Supply Limit,Bilateral Contract Positions,STEM Price,Balancing Price,Variance,Balancing Trade Estimate,Bilateral Trades,STEM Trades,RDQ
4200581,1/1/2015,1/1/2015,8,1,877.183,852.652,28.5,2884.092,832.488,28.35,35.02,6.67,-80.4165,832.488,96.319,1696.781
4200582,1/1/2015,1/1/2015,8,2,894.973,867.129,28.5,2884.092,845.769,28.35,35.52,7.17,-54.917,845.769,84.218,1750.14
4200591,1/1/2015,1/1/2015,9,1,907.565,890.29,28.5,2884.092,839.473,28.35,35.22,6.87,-43.278,839.473,90.894,1774.178
4200592,1/1/2015,1/1/2015,9,2,920.549,902.63,28.5,2884.092,854.578,28.35,34.91,6.56,-27.015,854.578,75.068,1805.262
42005101,1/1/2015,1/1/2015,10,1,929.816,926.58,28.5,2884.092,871.479,28.35,34.46,6.11,0.229,871.479,57.547,1858.51
42005102,1/1/2015,1/1/2015,10,2,936.377,942.246,28.5,2884.092,908.293,33.05,35.64,2.59,13.4925,908.293,20.438,1884.447
42005111,1/1/2015,1/1/2015,11,1,948.215,950.862,28.5,2884.092,944.237,33.05,35.64,2.59,-14.565,944.237,20.419,1900.182
42005112,1/1/2015,1/1/2015,11,2,965.003,965.903,28.5,2887.592,900.713,28.75,36.71,7.96,40.862,900.713,31.043,1945.236
42005121,1/1/2015,1/1/2015,12,1,985.339,973.003,28.5,2887.592,914.167,33.05,34.45,1.4,46.587,914.167,20.648,1962.804
42005122,1/1/2015,1/1/2015,12,2,1002.393,984.805,28.5,2887.592,917.964,29.15,34.17,5.02,21.1665,917.964,42.359,1962.979
42005131,1/1/2015,1/1/2015,13,1,1016.135,984.909,28.5,2887.592,928.402,29.15,34.17,5.02,6.782,928.402,44.546,1959.46
42005132,1/1/2015,1/1/2015,13,2,1030.751,986.099,28.5,2887.592,933.997,29.15,34.17,5.02,4.5885,933.997,41.192,1959.555
42005141,1/1/2015,1/1/2015,14,1,1043.451,987.923,28.5,2887.592,951.181,29.65,34.17,4.52,10.4715,951.181,24.717,1972.739
